TRICODE,IATA CODE,CALLSIGN,COMMON NAME,COMPANY/CORPORATE NAME,COUNTRY
VDO,-,AVANDARO,SERVICIOS AEREOS AVANDARO,"SERVICIOS AEREOS AVANDARO, S.A. DE C.V.",MEXICO
CEE,-,CENTRA AEREOS,SERVICIOS AEREOS CENTRALES,"SERVICIOS AEREOS CENTRALES, S.A. DE C.V.",MEXICO
TRN,-,AEROTRON,SERVICIOS AEREOS CORPORATIVOS,"SERVICIOS AEREOS CORPORATIVOS, S.A. DE C.V.",MEXICO
SCG,-,COSTA CALIDA,SERVICIOS AEREOS COSTA CALIDA,"SERVICIOS AEREOS COSTA CALIDA, S.L.",SPAIN
DDY,-,DANDY,SERVICIOS AEREOS DANDY,"SERVICIOS AEREOS DANDY, S.A. DE C.V.",MEXICO
AHI,-,AEROCHISA,SERVICIOS AEREOS DE CHIHUAHUA AERCHISA,"SERVICIOS AEREOS DE CHIHUAHUA AERCHISA, S.A. DE C.V.",MEXICO
AND,-,SERVI ANDES,SERVICIOS AEREOS DE LOS ANDES,SERVICIOS AEREOS DE LOS ANDES S.A.C.,PERU
ATP,-,ALTIPLANO,SERVICIOS AEREOS DEL ALTIPLANO,"SERVICIOS AEREOS DEL ALTIPLANO, S.A. DE C.V.",MEXICO
SDT,-,SADAT,SERVICIOS AEREOS DEL ATLANTICO,"SERVICIOS AEREOS DEL ATLANTICO, S.L.",SPAIN
SDV,-,SELVA,SERVICIOS AEREOS DEL VAUPES,SERVICIOS AEREOS DEL VAUPES LTDA.,COLOMBIA
LMP,-,SAISA,SERVICIOS AEREOS E INMOBILIARIOS,SERVICIOS AEREOS E INMOBILIARIOS ASI SA DE CV,MEXICO
LGU,-,LAGUNA,SERVICIOS AEREOS EJECUTIVOS DE LA LAGUNA,"SERVICIOS AEREOS EJECUTIVOS DE LA LAGUNA,S.A. DE C.V.",MEXICO
SRO,-,SAEREO,SERVICIOS AEREOS EJECUTIVOS SAEREO,SERVICIOS AEREOS EJECUTIVOS SAEREO S.A.,ECUADOR
ETE,-,SAELITE,SERVICIOS AEREOS ELITE,"SERVICIOS AEREOS ELITE, S.A. DE C.V.",MEXICO
DES,-,DESTINIA,SERVICIOS AEREOS ESPECIALIZADOS DESTINIA,"SERVICIOS AEREOS ESPECIALIZADOS DESTINIA, S.A. DE C.V.",MEXICO
KSP,-,SAEP,SERVICIOS AEREOS ESPECIALIZADOS EN TRANSPORTES PETROLEROS,SERVICIOS AEREOS ESPECIALIZADOS EN TRANSPORTES PETROLEROS,COLOMBIA
LLS,-,SERVIESTRELLA,SERVICIOS AEREOS ESTRELLA,"SERVICIOS AEREOS ESTRELLA, S.A. DE C.V.",MEXICO
GNA,-,SERVIGANA,SERVICIOS AEREOS GANA,"SERVICIOS AEREOS GANA, S.A. DE C.V.",MEXICO
ILS,-,SERVICIOS ILSA,SERVICIOS AEREOS ILSA,"SERVICIOS AEREOS ILSA, S.A. DE C.V.",MEXICO
TTD,-,INTERESTATALES,SERVICIOS AEREOS INTERESTATALES,"SERVICIOS AEREOS INTERESTATALES, S.A. DE C.V.",MEXICO
MLO,-,MILENIO,SERVICIOS AEREOS MILENIO,"SERVICIOS AEREOS MILENIO, S.A. DE C.V.",MEXICO
MIR,-,AEROMIR,SERVICIOS AEREOS MIRA,"SERVICIOS AEREOS MIRA, S.A. DE C.V.",MEXICO
OSS,-,NOTICIOSOS,SERVICIOS AEREOS NOTICIOSOS,"SERVICIOS AEREOS NOTICIOSOS, S.A. DE C.V.",MEXICO
POB,-,POBLANOS,SERVICIOS AEREOS POBLANOS,"SERVICIOS AEREOS POBLANOS, S.A. DE C.V.",MEXICO
PSV,-,PROSERVICIOS,SERVICIOS AEREOS PROFESIONALES,"SERVICIOS AEREOS PROFESIONALES, S.A.",DOMINICAN REPUBLIC
RGC,-,REGIOMONTANO,SERVICIOS AEREOS REGIOMONTANOS,SERVICIOS AEREOS REGIOMONTANOS,MEXICO
SCI,-,SAN CRISTOBAL,SERVICIOS AEREOS SAN CRISTOBAL,SERVICIOS AEREOS SAN CRISTOBAL,MEXICO
OFY,-,AEROSOF,SERVICIOS AEREOS SOFFLY,"SERVICIOS AEREOS SOFFLY, S.A. DE C.V.",MEXICO
SRT,-,SURTEP,SERVICIOS AEREOS SURTEP,"SERVICIOS AEREOS SURTEP, S.A. DE C.V.",MEXICO
XTA,-,TEXTRA,SERVICIOS AEREOS TEXTRA,"SERVICIOS AEREOS TEXTRA, S.A. DE C.V.",MEXICO
UNT,-,UNIVERSITARIO,SERVICIOS AEREOS UNIVERSITARIOS,"SERVICIOS AEREOS UNIVERSITARIOS, S.A. DE C.V.",MEXICO
SRL,-,SERVICIOS PERSONAL,SERVICIOS AERONAUTICOS AERO PERSONAL,"SERVICIOS AERONAUTICOS AERO PERSONAL, S.A. DE C.V.",MEXICO
SZT,-,AERO ZEE,SERVICIOS AERONAUTICOS Z,"SERVICIOS AERONAUTICOS Z, S.A. DE C.V.",MEXICO
SPL,-,CORPORATIVOS LAGUNA,SERVICIOS CORPORATIVOS AEREOS DE LA LAGUNA,"SERVICIOS CORPORATIVOS AEREOS DE LA LAGUNA, S.A. DE C.V.",MEXICO
ASE,-,ASERTEC,SERVICIOS DE AVIACION ASERTEC,"SERVICIOS DE AVIACION ASERTEC, S.A. DE C.V.",MEXICO
SXT,-,SERTAXI,SERVICIOS DE TAXI AEREOS,"SERVICIOS DE TAXI AEREOS, S.A. DE C.V.",MEXICO
SDI,-,SERVI DINAMIC,SERVICIOS DINAMICOS DE AVIACION,"SERVICIOS DINAMICOS DE AVIACION, S.A. DE C.V.",MEXICO
SVZ,-,SERVICIOS VIZ,SERVICIOS EJECUTIVOS AEREOS VIZ,"SERVICIOS EJECUTIVOS AEREOS VIZ, S.A. DE C.V.",MEXICO
SJC,-,SERVIEJECUTIVO,SERVICIOS EJECUTIVOS CONTINENTAL,"SERVICIOS EJECUTIVOS CONTINENTAL, S.A. DE C.V.",MEXICO
HJE,-,GOSA,SERVICIOS EJECUTIVOS GOSA,"SERVICIOS EJECUTIVOS GOSA, S.A. DE C.V.",MEXICO
NTG,-,INTEGRALES,SERVICIOS INTEGRALES DE AVIACION,"SERVICIOS INTEGRALES DE AVIACION, S.A. DE C.V.",MEXICO
ENL,-,OPTIMOS,SERVICIOS OPTIMOS DE AEROENLACE,SERVICIOS OPTIMOS DE AEROENLACE S.A. DE C.V.,MEXICO
SPV,-,SERVICIOS PRIVADOS,SERVICIOS PRIVADOS DE AVIACION,"SERVICIOS PRIVADOS DE AVIACION, S.A. DE C.V.",MEXICO
CRU,-,VIC-STARLIT,SERVICIOS STARLIT CARUSO,"SERVICIOS STARLIT CARUSO, S.A. DE C.V.",MEXICO
MSG,-,SAR-REGIONAL,SERVICO AEREO REGIONAL,SAR - SERVICO AEREO REGIONAL,MOZAMBIQUE
SGH,-,SERVISAIR,SERVISAIR,SERVISAIR LTD.,UNITED KINGDOM
SNM,-,SERVIZI AEREI,SERVIZI AEREI,SERVIZI AEREI SPA,ITALY
KOC,-,SETAIR,SETAIR,SETAIR,TURKEY
SLX,-,SETE,SETE LINHAS AEREAS,SETE LINHAS AEREAS LTDA.,BRAZIL
SSN,-,SETOUCHI,SETOUCHI SEAPLANES,SETOUCHI SEAPLANES INC.,JAPAN
RVP,-,SEVAIR,SEVAIR,SEVAIR,PORTUGAL
SBF,-,S-BAR,SEVEN BAR FLYING SERVICE,"SEVEN BAR FLYING SERVICE, INC. (ALBUQUERQUE, NM)",UNITED STATES OF AMERICA
IHO,-,UMOJA,SEVEN FOUR EIGHT AIR SERVICES,SEVEN FOUR EIGHT AIR SERVICES,KENYA
GDA,-,GLADIATOR,SEVERN AVIATION,SEVERN AVIATION LTD,UNITED KINGDOM
SSF,-,SEVERSTAL,SEVERSTAL,"SEVERSTAL, LTD AIRCOMPANY",RUSSIAN FEDERATION
SCH,-,OCEAN BIRD,SEYCHELLES AIRLINES,SEYCHELLES AIRLINES PTY LTD,SEYCHELLES
CSS,O3,SHUN FENG,SF AIRLINES,SF AIRLINES COMPANY LTD,CHINA
SIC,-,SICHART,SFS AVIATION,"SFS AVIATION CO., LTD",THAILAND
STF,-,-,SFT-SUDANESE FLIGHT,SFT-SUDANESE FLIGHT,SUDAN
CBW,-,SUPERWINGS,SH BELLAWINGS AIRLINES,"SUZHOU AVIATION CO., LIMITED",CHINA
PHF,-,SHAN FENG,SHAANXI FLYING COLLEGE,"SHAANXI PHOENIX INTERNATIONAL FLYING COLLEGE CO., LTD",CHINA
SAI,-,SHAHEEN AIR,SHAHEEN AIR INTERNATIONAL,SHAHEEN AIR INTERNATIONAL,PAKISTAN
SHN,-,SUGAR ALFA,SHAHEEN AIRPORT SERVICES,SHAHEEN AIRPORT SERVICES,PAKISTAN
SBP,-,SHAHIN BALL,SHAHIN BALL PARVAZ,SHAHIN BALL PARVAZ,IRAN
FFH,-,PEACE AIR,SHALOM AIR SERVICES,SHALOM AIR SERVICES,NIGERIA
CDG,SC,SHANDONG,SHANDONG AIRLINES,"SHANDONG AIRLINES CO,.LTD",CHINA
RBW,-,CAI HONG,SHANDONG AIRLINES,"SHANDONG AIRLINES RAINBOW JET CO., LTD",CHINA
NSY,-,QUNYING,SHANDONG NANSHAN INTERNATIONAL FLIGHT,"SHANDONG NANSHAN INTERNATIONAL FLIGHT CO., LTD",CHINA
CSH,FM,SHANGHAI AIR,SHANGHAI AIRLINES,SHANGHAI AIRLINES,CHINA
SHQ,-,SHANGHAI CARGO,SHANGHAI CARGO AIRLINES,SHANGHAI AIRLINES CARGO INTERNATIONAL COMPANY,CHINA
UGP,-,SHARINK,SHAR INK,SHAR INK LTD,RUSSIAN FEDERATION
SHJ,-,SHARJAH,SHARJAH RULERS FLIGHT,SHARJAH RULER S FLIGHT,UNITED ARAB EMIRATES
SHK,-,-,SHARP INC.,SHARP INC.,REPUBLIC OF KOREA
TST,-,SHATA AIR,SHATA AIR SERVICES,SHATA AIR SERVICES LTD,NIGERIA
SHV,-,SHAVANO,SHAVANO AIR,"SHAVANO AIR, INC. (PONCHA SPRINGS, CO)",UNITED STATES OF AMERICA
SYE,-,-,SHEBA AVIATION,SHEBA AVIATION,YEMEN
PEX,-,PECTEN,SHELL AIRCRAFT LTD,SHELL AIRCRAFT LTD,UNITED KINGDOM
SCL,-,SHELL CANADA,SHELL CANADA,SHELL CANADA,CANADA
SHM,-,SHELTAM,SHELTAM AVIATION,SHELTAM AVIATION CC,SOUTH AFRICA
SXJ,-,BIG WING,SHENFEI JET,SHANXI SHENFEI JET CO. LTD.,CHINA
CSZ,ZH,SHENZHEN AIR,SHENZHEN AIRLINES,SHENZHEN AIRLINES,CHINA
SHO,-,-,SHEREMETYEVO-CARGO,SHEREMETYEVO-CARGO,RUSSIAN FEDERATION
SHS,-,SHIRAK,SHIRAK AVIA,SHIRAK AVIA LLC,ARMENIA
HJI,-,SHIV AIR,SHIV AIR,SHIV AIR LIMITED,UGANDA
SHG,-,SHOP AIR,SHOPRITE GROUP,SHOPRITE GROUP LTD,UNITED KINGDOM
CST,-,SHORELINE,SHORELINE AVIATION,"SHORELINE AVIATION, INC.",UNITED STATES OF AMERICA
SDB,-,SHORE AIR,SHORELINE AVIATION,"SHORELINE AVIATION, LLC (OXFORD, CT)",UNITED STATES OF AMERICA
SHA,-,SHREE-AIR,SHREE AIRLINES,SHREE AIRLINES,NEPAL
SZG,-,STOTZ AGRO,SHTOTZ AGRO SERVICE,SHTOTZ AGRO SERVICE,BELARUS
CSY,-,SHUANGYANG,SHUANGYANG GENERAL AVIATION,SHUANGYANG GENERAL AVIATION CO.,CHINA
SQM,-,GOLDEN FIN,SIAM AIR TRANSPORT,"SIAM AIR TRANSPORT CO., LTD",THAILAND
RBR,-,SIAM AIRNET,SIAM AIRNET,"SIAM AIRNET CO., LTD",THAILAND
SVB,-,SIAVIA,SIAVIA,SIAVIA D.O.O.,SLOVENIA
SBD,-,SIBIA,SIBIA LTD,SIBIA LTD,RUSSIAN FEDERATION
CSC,3U,SI CHUAN,SICHUAN AIRLINES,"SICHUAN AIRLINES CO, LTD.",CHINA
SID,-,SIDERAL,SIDERAL LINHAS AERAS,SIDERAL LINHAS AERAS LTDA,BRAZIL
SRH,-,SIEMREAP AIR,SIEM REAP AIRWAYS INTERNATIONAL,SIEM REAP AIRWAYS INTERNATIONAL,CAMBODIA
SCA,-,AVIATOR,SIERRA CHARLIE AVIATION,SIERRA CHARLIE AVIATION,UNITED STATES OF AMERICA
SIE,-,SEREX,SIERRA EXPRESS,"SIERRA EXPRESS (RENO, NV)",UNITED STATES OF AMERICA
SRX,-,SIERRA EX,SIERRA EXPRESSWAY AIRLINES,"SIERRA EXPRESSWAY AIRLINES (OAKLAND, CA)",UNITED STATES OF AMERICA
SPA,-,SIERRA PACIFIC,SIERRA PACIFIC AIRLINES,"SIERRA PACIFIC AIRLINES, INC. (TUCSON, AZ)",UNITED STATES OF AMERICA
SGL,-,SIGAIR,SIGMA AIRLINES,SIGMA AIRLINES LLP,KAZAKHSTAN
SIG,-,-,SIGNATURE FLIGHT SUPPORT,SIGNATURE FLIGHT SUPPORT LTD,UNITED KINGDOM
SUA,-,AIR SILESIA,SILESIA AIR,SILESIA AIR J.S.C.,CZECHIA
USA,US,SILK,SILK AVIA,SILK AVIA LLC,UZBEKISTAN
AZQ,-,SILK LINE,SILK WAY AIRLINES,SILK WAY AIRLINES LTD,AZERBAIJAN
AZG,7L,SILK WEST,SILK WAY WEST AIRLINES,SILK WAY WEST AIRLINES,AZERBAIJAN
SLK,-,SILKAIR,SILKAIR SINGAPORE,SILKAIR (SINGAPORE) PTE LTD,SINGAPORE
IJS,-,-,SILVAIR,"SILVAIR, INC. (MIAMI SPRINGS, FL)",UNITED STATES OF AMERICA
SAN,-,SILVAIR NET,SILVAIR,SILVAIR SP. Z.O.O.,POLAND
SLD,-,SILVERLINE,SILVER AIR,SILVER AIR LTD,CZECHIA
SIL,3M,SILVER WINGS,SILVER AIRWAYS,"SILVER AIRWAYS CORP. (FORT LAUDERDALE, FL)",UNITED STATES OF AMERICA
SCR,-,SILVER CLOUD,SILVER CLOUD AIR,"SILVER CLOUD AIR GMBH, SCHIFFERSTADT",GERMANY
VRB,-,SILVERBACK,SILVERBACK CARGO,SILVERBACK CARGO FREIGHTERS,RWANDA
SLH,-,SILVERHAWK,SILVERHAWK AVIATION,"SILVERHAWK AVIATION, INC. (SEWARD, NE)",UNITED STATES OF AMERICA
SLR,-,SILVERSTONE,SILVESTONE AIR SERVICES,SILVESTONE AIR SERVICES LTD,KENYA
SMN,-,SIMAVIA,SIMARGL,"SIMARGL LTD, AIRCOMPANY",RUSSIAN FEDERATION
RMK,-,SIMRIK AIR,SIMRIK AIRLINES,SIMRIK AIRLINES PVT. LTD,NEPAL
SAF,-,SINGA,SINGAPORE AIR FORCE,REPUBLIC OF SINGAPORE AIR FORCE,SINGAPORE
SIA,SQ,SINGAPORE,SINGAPORE AIRLINES,SINGAPORE AIRLINES LIMITED,SINGAPORE
SQC,-,SINGCARGO,SINGAPORE AIRLINES CARGO,SINGAPORE AIRLINES CARGO,SINGAPORE
SJD,-,AIR SINO,SINO JET,"SINO JET CO., LTD.",CHINA
SJM,-,SINO SKY,SINO JET,SINO JET MANAGEMENT LTD,CHINA
JBE,-,SINO BEIJING,SINOJET BEIJING,"SINOJET (BEIJING) CO., LTD.",CHINA
SIO,-,SIRIO,SIRIO,SIRIO S.P.A.,ITALY
CIG,-,SIRIUS AERO,SIRIUS-AERO,SIRIUS-AERO,RUSSIAN FEDERATION
VRS,-,VAIRSA,SIRVAIR,"SIRVAIR, S.A.DE C.V.",MEXICO
SIT,-,-,SITA,SITA - SOCIETE INTERNATIONALE DE TELECOMMUNICATIONS AERONAUTIQUES,BELGIUM
SWO,-,SIVA,SIVA,SURINAM INTERNATIONAL VICTORY AIRLINE N.V.,SURINAME
SIX,-,DRIVE ORANGE,SIXT,"SIXT RENTA CAR, LLC",UNITED STATES OF AMERICA
HMF,-,LIFEGUARD SWEDEN,SJOFARTSVERKET,SJOFARTSVERKET,SWEDEN
UGS,-,SKY UGANDA,SKA AIR,SKA AIR AND LOGISTICS (UGANDA) LIMITED,UGANDA
KLA,-,SKYLIGHT AIR,SKA ARABIA,SKA SA AIRCRAFT LEASING (PTY) LTD,SOUTH AFRICA
MHQ,-,HELICARE,SKARGARDSHAVETS HELIKOPTERTJANST,SKARGARDSHAVETS HELIKOPTERTJANST AB (SHT),FINLAND
SJB,-,SOUTHERN TIGER,SKS AIRWAYS,SKS AIRWAYS,MALAYSIA
KGZ,-,SKY FRU,SKY,SKY FRU,KYRGYZSTAN
KYA,-,-,SKY,SKY,ISRAEL
KYR,-,SKY AERONAUTICAL,SKY AERONAUTICAL SERVICES,"SKY AERONAUTICAL SERVICES, S.A. DE C.V.",MEXICO
SKU,H2,-,SKY AIRLINES,SKY AIRLINE S.A.,CHILE
SKX,H8,SKY PERU,SKY AIRLINES PERU,SKY AIRLINE PERU S.A.C.,PERU
HPP,-,SKY HOP,SKY ATLANTIC,"AVIATION PARTNER OF BOYTON BEACH, LLC D/B/A SKY ATLANTIC",UNITED STATES OF AMERICA
RUS,-,-,SKY ATLAS,SKY ATLAS,RUSSIAN FEDERATION
SBM,-,TROPICAL SKY,SKY BAHAMAS,SKY BAHAMAS,BAHAMAS
SBL,-,SKY BIRD,SKY BIRD AIRLINES,SKY BIRD AIRLINES,EGYPT
BIS,-,JUMA AIR,SKY BISHKEK,SKY BISHKEK,KYRGYSTAN
FLH,-,MILE HIGH,SKY BUS,"SKY BUS, INC. (DENVER, CO)",UNITED STATES OF AMERICA
HVY,-,LIFT PERU,SKY BUS,SKY BUS S.A.C.,PERU
SCK,-,SKYCAM,SKY CAM,SKY CAM,FRANCE
AHW,-,SKY CAPITAL,SKY CAPITAL AIRLINES,"SKY CAPITAL AIRLINES, LTD.",BANGLADESH
SXC,-,SKY EXEC,SKY EXEC AVIATION SERVICES,SKY EXEC AVIATION SERVICES,NIGERIA
SEH,-,AIR CRETE,SKY EXPRESS,SKY EXPRESS S.A.,GREECE
SKG,-,SKY GABON,SKY GABON,SKY GABON,GABON
SAY,-,SKY PATH,SKY GATES AIRLINES,AIR COMPANY SKY GATES AIRLINES LLC,RUSSIAN FEDERATION
LSG,-,SKY LACHIN,SKY GOLDEN LACHIN,SKY GOLDEN LACHIN,TAJIKISTAN
TSZ,-,-,SKY HANDLING,SKY HANDLING LLC,RUSSIAN FEDERATION
SHC,-,SKY HARBOR CHEYENNE,SKY HARBOR AIR SERVICE,"SKY HARBOR AIR SERVICE INC. (CHEYENNE, WY)",UNITED STATES OF AMERICA
SKD,-,SKY DAWG,SKY HARBOR AIR SERVICE,"SKY HARBOR AIR SERVICE, INC. (OMAHA, NE)",UNITED STATES OF AMERICA
HSY,-,HELISKY,SKY HELICOPTEROS,SKY HELICOPTEROS S.A.,SPAIN
SHH,-,SKY DOMENICANA,SKY HIGH AVIATION SERVICES,SKY HIGH AVIATION SERVICES DOMINICANA,DOMINICAN REPUBLIC
SJU,-,-,SKY JET,SKY JET,UGANDA
KGK,-,KYRGYZ SKY,SKY KG AIRLINES,SKY KG AIRLINES,KYRGYZSTAN
SGB,-,SONGBIRD,SKY KING,"SKY KING, INC. (SACRAMENTO, CA)",UNITED STATES OF AMERICA
KYE,-,SKY CUBE,SKY LEASE CARGO,"SKY LEASE I, INC. (GREENSBORO, NC)",UNITED STATES OF AMERICA
SLY,-,SKYCO,SKY LINE,SKY LINE FOR AIR SERVICES LTD,SUDAN
SKS,-,-,SKY LINK AVIATION SERVICES,SKY LINK AVIATION SERVICES,PAKISTAN
FML,-,EAGLE BIRD,SKY MALI,SKY MALI,MALI
KYD,-,SKYAD,SKY MESSAGING,SKY MESSAGING (PTY) LTD,SOUTH AFRICA
SKJ,-,SKYNET AIR,SKY NET AIRLINE,SKY NET AIRLINE,ARMENIA
PVO,-,PRIVATE ORANGE,SKY ONE,"SKY ONE HOLDINGS, LLC (FT. LAUDERDALE, FL)",UNITED STATES OF AMERICA
FSO,-,SKY AIR,SKY ONE,SKY ONE S.R.O.,SLOVAKIA
SYF,-,SKY FIRST,SKY ONE EXPRESS AIRLINES,"SKY ONE EXPRESS AIRLINES INC. (REISTERTOWN, MD)",UNITED STATES OF AMERICA
SPD,-,SKY PRIME,SKY PRIME CHARTER,SKY PRIME CHARTER,SAUDI ARABIA
LXR,-,SKY LUXURY,SKY PRIME MALTA,SKY PRIME MALTA,MALTA
ERY,-,ERIE SHORE,SKY QUEST,SKY QUEST,UNITED STATES OF AMERICA
KVR,-,KAVAIR,SKY SERVICE,SKY SERVICE,CHILE
SSA,-,STAR-JET,SKY SERVICE AVIATION,"SKY SERVICE AVIATION, S.L.",SPAIN
SYM,-,VOLO SKY,SKY SERVICES MALTA,SKY SERVICES MALTA LTD,MALTA
HHK,-,-,SKY SHUTTLE HELICOPTERS,SKY SHUTTLE HELICOPTERS LIMITED,CHINA
SKE,-,SKYISLE,SKY TOURS,"SKY TOURS, INC. (PORT CLINTON, OH)",UNITED STATES OF AMERICA
RVU,-,GEORGIAN BALLOON,SKY TRAVEL,SKY TRAVEL LTD,GEORGIA
SYU,-,SKY UNLIMITED,SKY UNLIMITED,SKY UNLIMITED,NETHERLANDS
SVK,-,VISION,SKY VISION,SKY VISION D.O.O.,CROATIA
SVI,-,-,SKY VISION AIRLINES,SKY VISION AIRLINES CO,EGYPT
...,-,SKY WIND,SKY WIND,SKY WIND,SAO TOME AND PRINCIPE
SWJ,-,-,SKY WINGS FLIGHT SUPPORT SERVICES,SKY WINGS FLIGHT SUPPORT SERVICES,PAKISTAN
...,-,SKYZONE,SKY ZONE SERVICOS AEREOS,"SKY ZONE SERVICOS AEREOS, LDA",PORTUGAL
KYC,-,SKYBIRD CHARTER,SKYBIRD AIR,SKYBIRD AIR LIMITED,NIGERIA
SBN,-,SKYBOSNIA,SKYBOSNIA,SKYBOSNIA D.O.O.,BOSNIA AND HERZEGOVINA
SBB,-,BALKAN JET,SKYBRIDGE INTERNATIONAL,SKYBRIDGE INTERNATIONAL BALKAN DOO,SERBIA
SKB,-,SKYBUS,SKYBUS AIRLINES,"SKYBUS AIRLINES, INC. (COLUMBUS, OH)",UNITED STATES OF AMERICA
BSJ,-,SKYBUS JET,SKYBUS JET,SKYBUS JET LTD,BAHAMAS
PHX,-,PHOENIX NORTH,SKYCARE,2080061 ONTARIO INC.,CANADA
SKL,-,SKYCHARTER,SKYCHARTER,SKYCHARTER (MALTON) LIMITED,CANADA
SKF,-,SKYCRAFT,SKYCRAFT,"SKYCRAFT, INC. (SEATTLE, WA)",UNITED STATES OF AMERICA
SDL,-,SKYDRIFT,SKYDRIFT,SKYDRIFT LTD,UNITED KINGDOM
EMO,-,EMOTION,SKYEMOTION,SKYEMOTION GMBH,AUSTRIA
KFE,-,MORITO,SKYFIRST,SKYFIRST LTD,MALTA
SFT,-,SKYFREIGHT,SKYFREIGHT,"SKYFREIGHT, INC. (SEATTLE, WA)",UNITED STATES OF AMERICA
HAU,-,SKYHAUL,SKYHAUL,SKYHAUL PTY LTD,SOUTH AFRICA
SSW,-,-,SKYHAWKS AVIATION,SKYHAWKS AVIATION SERVICE WORLDWIDE,PAKISTAN
SJL,-,KAMILA,SKYJET,SKYJET,KYRGYZSTAN
LRK,-,SKYLARK,SKYJET AVIATION,SKYJET AVIATION SERVICES LIMITED,NIGERIA
SJS,-,JET PORT,SKYJETS,"SKYJETS & SUPPORT, S.A. DE C.V.",MEXICO
SKI,-,SKYKING,SKYKING,SKYKING LTD,UNITED KINGDOM
SKA,-,SKYLAN AIRWAYS,SKYLAN AIRWAYS,PREMIER AVIATION GROUP LTD D/B/A SKYLAN AIRWAYS,JAMAICA
LSK,-,SKYLIGHT,SKYLIGHT,SKYLIGHT JSC,RUSSIAN FEDERATION
SMT,-,SKYLIMIT,SKYLINE,SKYLINE LTD,NIGERIA
SML,-,SKYLINE,SKYLINE AVIATION,SKYLINE AVIATION SRL,SAN MARINO
SKN,-,SKYLINER,SKYLINE AVIATION SERVICES,"SKYLINE AVIATION SERVICES, INC. (BEAVER FALLS, PA)",UNITED STATES OF AMERICA
UTN,QU,UT-UKRAINE,SKYLINE EXPRESS,"SKYLINE EXPRESS AIRLINES, LLC",UKRAINE
SXL,-,SONIC,SKYLINE FLIGHT,"CORNERSTONE AVIATION, LLC. D/B/A SKYLINE FLIGHT (STOW, MA)",UNITED STATES OF AMERICA
KCU,-,KOCOGLU,SKYLINE ULASIM TICARET,SKYLINE ULASIM TICARET A.S.,TURKEY
SLL,-,-,SKYLINK AVIATION,SKYLINK AVIATION LIMITED,KENYA
SLQ,-,SKYLINK,SKYLINK EXPRESS,SKYLINK EXPRESS INC,CANADA
TSM,-,SKYLOUNGE,SKYLOUNGE SERVICES,SKYLOUNGE SERVICES S.A.L.,LEBANON
SKY,-,SKYMARK,SKYMARK AIRLINES,SKYMARK AIRLINES INC.,JAPAN
SMB,-,SKYMARK ELITE,SKYMARK EXECUTIVE,SKYMARK EXECUTIVE S.R.L.,SAN MARINO
SKC,-,SKYMASTER AIR,SKYMASTER AIR LINES,SKYMASTER AIR LINES LTDA,BRAZIL
SDD,-,SKY DANCE,SKYMASTER AIR TAXI,"R I C INC., D/B/A SKYMASTER AIR TAXI (LACONIA, NH)",UNITED STATES OF AMERICA
LAS,-,LIONS HELICOPTER,SKYMEDIA,LIONS AIR SKYMEDIA AG DBA SKYMEDIA,SWITZERLAND
XXS,-,-,SKYPLAN SERVICES,SKYPLAN SERVICES LTD,CANADA
SIH,-,SKY ROADS,SKYROADS AVIATION,"SKYROADS AVIATION, LLC",UNITED STATES OF AMERICA
...,-,SKYROUTE,SKYROUTE AVIATION,SKYROUTE AVIATION,ERITREA
WLK,-,SKYWATCH,SKYROVER,SKYROVER CC,SOUTH AFRICA
SKR,-,SKYSCAPES,SKYSCAPES AIR CHARTERS,SKYSCAPES AIR CHARTERS,SOUTH AFRICA
SYB,-,SKYBIZ,SKYSERVICE,SKYSERVICE BUSINESS AVIATION INC.,CANADA
SKV,-,SKY SIDE,SKYSIDE,SKYSIDE GMBH,AUSTRIA
SSK,-,SKYSTAR,SKYSTAR INTERNATIONAL,"SKYSTAR INTERNATIONAL, INC. (WASHINGTON, NJ)",UNITED STATES OF AMERICA
IGA,-,IGUANA,SKYTAXI,SKYTAXI LTD,POLAND
TTQ,-,-,SKYTRAC,SKYTRAC SYSTEMS,CANADA
SND,-,SNOWBIRD,SKYTRADERS,SKYTRADERS PTY LTD,AUSTRALIA
...,-,SKYTRAIL,SKYTRAIL AIRLINES,SKYTRAIL AIRLINES LIMITED,KENYA
SKP,-,SKYTRANS,SKYTRANS AIRLINES,SKYTRANS PTY LTD T/A SKYTRANS AIRLINES,AUSTRALIA
SKT,-,SKYTROPIC,SKYTROPIC,"AERO SKYTROPIC, S.A.",PANAMA
SQP,-,SKYUP,SKYUP AIRLINES,SKYUP AIRLINES,UKRAINE
SEU,-,SKY MALTA,SKYUP MALTA,SKYUP MT,MALTA
RCT,-,GREEN SKY,SKYVIEW AIRWAYS,"SKYVIEW AIRWAYS CO., LTD",THAILAND
UWD,-,UPWARD,SKYWARD AVIATION,SKYWARD AVIATION,UNITED STATES OF AMERICA
SEW,-,SKYWARD EXPRESS,SKYWARD EXPRESS,SKYWARD EXPRESS,KENYA
SWY,-,-,SKYWAY,"SKYWAY, CJSC",RUSSIAN FEDERATION
GCS,-,SKY TEC,SKYWAY AIRLINES,SKYWAY AIRLINES,COSTA RICA
SKZ,-,SKYWAY-INC,SKYWAY ENTERPRISES,"SKYWAY ENTERPRISES, INC. (KISSIMMEE, FL)",UNITED STATES OF AMERICA
